target_smiles,ref_smiles,target_diff,ref_diff
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CC(=O)N[C@]1(CC(C)C)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3C[NH2+]2)C1=O,"([('Ether', 1, [(3,)]), ('pyrrolidine', 1, [(4, 46, 7, 6, 5)])], [('C2 alkane', 1, [(0, 1)])])","([('Ammonium', 1, [(45,)]), ('Benzene', 1, [(38, 39, 40, 41, 42, 43)])], [('C1 alkane', 2, [(37,), (44,)])])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(NC(C)=O)(C(C)CC)C2=O)C1,"([], [('C1 alkane', 1, [(38,)])])","([], [('C1 alkane', 1, [(41,)])])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(C(O)CCC)C2=O)C1,"([('Amide', 1, [(41, 43, 40)])], [('C1 alkane', 2, [(39,), (42,)])])","([('Hydroxy', 1, [(37,)])], [('C1 alkane', 1, [(40,)])])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(CC(C)C)C2=O)C1,"([('Amide', 1, [(41, 43, 40)])], [('C1 alkane', 1, [(42,)])])","([], [])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCC(C)C1(NC(C)=O)CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCc3ccc(F)cc3)C[NH2+]2)C1=O,"([], [('C1 alkane', 2, [(38,), (39,)])])","([('Arylfluoride', 1, [(45,)]), ('Benzene', 1, [(41, 42, 43, 44, 46, 47)])], [])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCCCC1CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCCC)C[NH2+]2)C1=O,"([('Amide', 1, [(41, 43, 40)])], [('C1 alkane', 2, [(38,), (42,)])])","([], [('C1 alkane', 1, [(0,)])])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(C(C)C)C2=O)C1,"([('Amide', 1, [(41, 43, 40)])], [('C1 alkane', 3, [(38,), (39,), (42,)])])","([], [('C1 alkane', 1, [(37,)])])"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(COC)C2=O)C1,"([('Amide', 1, [(41, 43, 40)])], [('C1 alkane', 3, [(38,), (39,), (42,)])])","([('Ether', 1, [(37,)])], [])"
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,"([('Ether', 1, [(30,)])], [('C1 alkane', 1, [(31,)])])","([('Trifluoromethyl', 1, [(31, 30, 32, 33)])], [])"
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C(C)(C)CCCC(C)C)cc13)N(C)S(=O)(=O)CC2,"([('Ether', 1, [(30,)]), ('Benzene', 1, [(25, 26, 27, 28, 29, 32)])], [])","([], [('C1 alkane', 1, [(26,)]), ('C6 alkane', 1, [(27, 28, 29, 30, 31, 32)])])"
