target_smiles,ref_smiles,target_diff,ref_diff
CC(C)NCC(O)COc1cccc2ccccc12.[Cl],CC(C)NCC(O)COc1cccc2ccccc12,"([('Halogen multi subst', 1, [(19,)])], [])","([], [])"
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,"([], [('C1 alkane', 1, [(0,)])])","([('Benzene', 1, [(20, 21, 22, 23, 24, 25)])], [])"
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,"([('Arylchloride', 1, [(11,)])], [])","([], [])"
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,"([], [])","([('Arylfluoride', 1, [(7,)])], [])"
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,"([], [])","([('Arylchloride', 1, [(7,)])], [])"
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)C1C(=O)/C(=C(/O)NCN2CCN(C(=N)N=C(N)N)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,"([('pyrrolidine', 1, [(13, 14, 15, 11, 12)])], [])","([('Imine', 1, [(16, 15)]), ('Guanidine', 1, [(19, 18, 17, 20)]), ('piperazine', 1, [(12, 13, 14, 21, 22, 11)])], [])"
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC(C(=O)O)C2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,"([('pyrrolidine', 1, [(13, 14, 15, 11, 12)])], [])","([('Carboxylic acid', 1, [(16, 17, 18)]), ('piperidine', 1, [(14, 13, 12, 11, 19, 15)])], [])"
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)C1C(=O)/C(=C(/O)NCN2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,"([('pyrrolidine', 1, [(13, 14, 15, 11, 12)])], [])","([('Hydroxy', 1, [(17,)]), ('piperazine', 1, [(12, 13, 14, 18, 19, 11)])], [('C2 alkane', 1, [(15, 16)])])"
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,"([('1,2-Diol', 1, [(11, 9, 12, 13)])], [('C1 alkane', 1, [(10,)])])","([('Hydroxy', 1, [(12,)])], [('C3 alkane', 1, [(9, 10, 11)])])"
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,"([('1,2-Diol', 1, [(11, 9, 12, 13)])], [('C1 alkane', 1, [(10,)])])","([('Hydroxy', 2, [(12,), (14,)])], [('C4 alkane', 1, [(9, 10, 11, 13)])])"
CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,"([('pyrrolidine', 1, [(3, 4, 5, 1, 2)])], [])","([('morpholine', 1, [(2, 21, 20, 19, 18, 1)])], [])"
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,"([('Barbiturate', 1, [(5, 8, 9, 10, 11, 12, 13, 14, 15)])], [])","([('Lactam', 2, [(8, 9, 10), (14, 15, 13)]), ('Thiourea', 1, [(10, 11, 12, 13)])], [('C1 alkane', 1, [(7,)])])"
CCOC(=O)c1cncn1C(C)c1ccccc1,CCOC(=O)c1cncn1C(C)c1ccc(F)cc1,"([], [])","([('Arylfluoride', 1, [(16,)])], [])"
CCOC(=O)c1cncn1C(C)c1ccccc1,COC(=O)c1cncn1C(C)c1ccccc1,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCOC(=O)c1cncn1C(C)c1ccccc1,CCCOC(=O)c1cncn1C(C)c1ccccc1,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"([], [])","([('Hydroxy', 1, [(0,)])], [('C1 alkane', 1, [(1,)])])"
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,"([('Arylchloride', 1, [(20,)])], [])","([('Thioether', 1, [(2,)])], [('C2 alkane', 1, [(0, 1)])])"
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"([('Arylchloride', 1, [(20,)])], [])","([('Trifluoromethyl', 1, [(21, 20, 22, 23)])], [])"
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CN1CCN(CCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)C1=O,"([], [])","([('Urea', 1, [(1, 31, 32, 4)]), ('imidazolidine', 1, [(2, 3, 4, 31, 1)])], [('C1 alkane', 2, [(0,), (5,)])])"
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"([], [])","([('Carboxylic ester', 1, [(1, 2, 3)])], [('C1 alkane', 2, [(0,), (4,)])])"
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,"([('Hydroxy', 1, [(12,)])], [])","([('Fluoride', 1, [(12,)])], [])"
NC(N)=Nc1nc(-c2ccccc2)cs1,NC(N)=Nc1nc(-c2cccc(N)c2)cs1,"([], [])","([('Amine', 1, [(12,)])], [])"
CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,CNCCCN1c2ccccc2Sc2ccccc21,"([('Arylchloride', 1, [(17,)])], [])","([], [])"
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,"([('tetrazole', 1, [(5, 4, 3, 2, 1)])], [])","([('1,3,4-thiadiazole', 1, [(1, 2, 3, 4, 30)])], [])"
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)C(O)c3ccccc3)C(=O)N12,"([], [])","([('Sulfonic acid', 1, [(13, 14, 15, 16)])], [])"
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,"([], [])","([('Amide', 1, [(33, 34, 32)])], [])"
NCCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,"([], [])","([], [('C1 alkane', 2, [(0,), (2,)])])"
