target_smiles,target_mapped_smiles,ref_smiles,ref_mapped_smiles,target_diff,ref_diff,disconnect_list,connect_dict,target_label,ref_label,property_name
CC(C)NCC(O)COc1cccc2ccccc12.[Cl],[CH3:0][CH:1]([CH3:2])[NH:3][CH2:4][CH:5]([OH:6])[CH2:7][O:8][c:9]1[cH:10][cH:11][cH:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]12.[Cl:19],CC(C)NCC(O)COc1cccc2ccccc12,[CH3:0][CH:1]([CH3:2])[NH:3][CH2:4][CH:5]([OH:6])[CH2:7][O:8][c:9]1[cH:10][cH:11][cH:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]12,"([('Halogen multi subst', 1, [(19,)])], [])","([], [])","[('Halogen multi subst', [(19,)])]","defaultdict(<class 'list'>, {})",1.0,0.0,blood-brain barrier penetration
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,[CH3:0][C:1](=[O:2])[NH:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([CH2:13][N:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[cH:20]1,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,[O:0]=[C:1]([NH:2][CH2:3][CH2:4][CH2:5][O:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,"([], [('C1 alkane', 1, [(0,)])])","([('Benzene', 1, [(20, 21, 22, 23, 24, 25)])], [])","[('C1 alkane', [(0,)])]","defaultdict(<class 'list'>, {'Benzene ([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)': [(20, 1, 'target molecule')]})",1.0,1.0,blood-brain barrier penetration
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,[CH3:0][c:1]1[o:2][n:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[Cl:11])[c:12]1[C:13](=[O:14])[NH:15][C@@H:16]1[C:17](=[O:18])[N:19]2[C@@H:20]1[S:21][C:22]([CH3:23])([CH3:24])[C@@H:25]2[C:26](=[O:27])[OH:28],Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,[CH3:0][c:1]1[o:2][n:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[c:11]1[C:12](=[O:13])[NH:14][C@@H:15]1[C:16](=[O:17])[N:18]2[C@@H:19]1[S:20][C:21]([CH3:22])([CH3:23])[C@@H:24]2[C:25](=[O:26])[OH:27],"([('Arylchloride', 1, [(11,)])], [])","([], [])","[('Arylchloride', [(11,)])]","defaultdict(<class 'list'>, {})",1.0,0.0,blood-brain barrier penetration
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,[CH3:0][c:1]1[o:2][n:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[Cl:11])[c:12]1[C:13](=[O:14])[NH:15][C@@H:16]1[C:17](=[O:18])[N:19]2[C@@H:20]1[S:21][C:22]([CH3:23])([CH3:24])[C@@H:25]2[C:26](=[O:27])[OH:28],Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,[CH3:0][c:1]1[o:2][n:3][c:4](-[c:5]2[c:6]([F:7])[cH:8][cH:9][cH:10][c:11]2[Cl:12])[c:13]1[C:14](=[O:15])[NH:16][C@@H:17]1[C:18](=[O:19])[N:20]2[C@@H:21]1[S:22][C:23]([CH3:24])([CH3:25])[C@@H:26]2[C:27](=[O:28])[OH:29],"([], [])","([('Arylfluoride', 1, [(7,)])], [])",[],"defaultdict(<class 'list'>, {'Arylfluoride ([F:7])': [(7, 6, 'target molecule')]})",1.0,0.0,blood-brain barrier penetration
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,[CH3:0][c:1]1[o:2][n:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[Cl:11])[c:12]1[C:13](=[O:14])[NH:15][C@@H:16]1[C:17](=[O:18])[N:19]2[C@@H:20]1[S:21][C:22]([CH3:23])([CH3:24])[C@@H:25]2[C:26](=[O:27])[OH:28],Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,[CH3:0][c:1]1[o:2][n:3][c:4](-[c:5]2[c:6]([Cl:7])[cH:8][cH:9][cH:10][c:11]2[Cl:12])[c:13]1[C:14](=[O:15])[NH:16][C@@H:17]1[C:18](=[O:19])[N:20]2[C@@H:21]1[S:22][C:23]([CH3:24])([CH3:25])[C@@H:26]2[C:27](=[O:28])[OH:29],"([], [])","([('Arylchloride', 1, [(7,)])], [])",[],"defaultdict(<class 'list'>, {'Arylchloride ([Cl:7])': [(7, 6, 'target molecule')]})",1.0,0.0,blood-brain barrier penetration
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,[CH3:0][N:1]([CH3:2])[C@@H:3]1[C:4](=[O:5])/[C:6](=[C:7](/[OH:8])[NH:9][CH2:10][N:11]2[CH2:12][CH2:13][CH2:14][CH2:15]2)[C:16](=[O:17])[C@@:18]2([OH:19])[C:20](=[O:21])[C:22]3=[C:23]([OH:24])[c:25]4[c:26]([OH:27])[cH:28][cH:29][cH:30][c:31]4[C@@:32]([CH3:33])([OH:34])[C@H:35]3[CH2:36][C@@H:37]12,CN(C)C1C(=O)/C(=C(/O)NCN2CCN(C(=N)N=C(N)N)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,[CH3:0][N:1]([CH3:2])[CH:3]1[C:4](=[O:5])/[C:6](=[C:7](/[OH:8])[NH:9][CH2:10][N:11]2[CH2:12][CH2:13][N:14]([C:15](=[NH:16])[N:17]=[C:18]([NH2:19])[NH2:20])[CH2:21][CH2:22]2)[C:23](=[O:24])[C:25]2([OH:26])[C:27](=[O:28])[C:29]3=[C:30]([OH:31])[c:32]4[c:33]([OH:34])[cH:35][cH:36][cH:37][c:38]4[C:39]([CH3:40])([OH:41])[CH:42]3[CH2:43][CH:44]12,"([('pyrrolidine', 1, [(13, 14, 15, 11, 12)])], [])","([('Imine', 1, [(16, 15)]), ('Guanidine', 1, [(19, 18, 17, 20)]), ('piperazine', 1, [(12, 13, 14, 21, 22, 11)])], [])","[('pyrrolidine', [(13, 14, 15, 11, 12)])]","defaultdict(<class 'list'>, {'piperazine ([N:11]1[CH2:12][CH2:13][N:14][CH2:21][CH2:22]1)': [(14, 15, 'Imine ([C:15]=[NH:16])'), (11, 10, 'target molecule')], 'Imine ([C:15]=[NH:16])': [(15, 17, 'Guanidine ([N:17]=[C:18]([NH2:19])[NH2:20])')]})",1.0,0.0,blood-brain barrier penetration
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,[CH3:0][N:1]([CH3:2])[C@@H:3]1[C:4](=[O:5])/[C:6](=[C:7](/[OH:8])[NH:9][CH2:10][N:11]2[CH2:12][CH2:13][CH2:14][CH2:15]2)[C:16](=[O:17])[C@@:18]2([OH:19])[C:20](=[O:21])[C:22]3=[C:23]([OH:24])[c:25]4[c:26]([OH:27])[cH:28][cH:29][cH:30][c:31]4[C@@:32]([CH3:33])([OH:34])[C@H:35]3[CH2:36][C@@H:37]12,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC(C(=O)O)C2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,[CH3:0][N:1]([CH3:2])[C@@H:3]1[C:4](=[O:5])/[C:6](=[C:7](/[OH:8])[NH:9][CH2:10][N:11]2[CH2:12][CH2:13][CH2:14][CH:15]([C:16](=[O:17])[OH:18])[CH2:19]2)[C:20](=[O:21])[C@@:22]2([OH:23])[C:24](=[O:25])[C:26]3=[C:27]([OH:28])[c:29]4[c:30]([OH:31])[cH:32][cH:33][cH:34][c:35]4[C@@:36]([CH3:37])([OH:38])[C@H:39]3[CH2:40][C@@H:41]12,"([('pyrrolidine', 1, [(13, 14, 15, 11, 12)])], [])","([('Carboxylic acid', 1, [(16, 17, 18)]), ('piperidine', 1, [(14, 13, 12, 11, 19, 15)])], [])","[('pyrrolidine', [(13, 14, 15, 11, 12)])]","defaultdict(<class 'list'>, {'piperidine ([N:11]1[CH2:12][CH2:13][CH2:14][CH:15][CH2:19]1)': [(11, 10, 'target molecule'), (15, 16, 'Carboxylic acid ([C:16](=[O:17])[OH:18])')]})",1.0,0.0,blood-brain barrier penetration
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,[CH3:0][N:1]([CH3:2])[C@@H:3]1[C:4](=[O:5])/[C:6](=[C:7](/[OH:8])[NH:9][CH2:10][N:11]2[CH2:12][CH2:13][CH2:14][CH2:15]2)[C:16](=[O:17])[C@@:18]2([OH:19])[C:20](=[O:21])[C:22]3=[C:23]([OH:24])[c:25]4[c:26]([OH:27])[cH:28][cH:29][cH:30][c:31]4[C@@:32]([CH3:33])([OH:34])[C@H:35]3[CH2:36][C@@H:37]12,CN(C)C1C(=O)/C(=C(/O)NCN2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,[CH3:0][N:1]([CH3:2])[CH:3]1[C:4](=[O:5])/[C:6](=[C:7](/[OH:8])[NH:9][CH2:10][N:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][OH:17])[CH2:18][CH2:19]2)[C:20](=[O:21])[C:22]2([OH:23])[C:24](=[O:25])[C:26]3=[C:27]([OH:28])[c:29]4[c:30]([OH:31])[cH:32][cH:33][cH:34][c:35]4[C:36]([CH3:37])([OH:38])[CH:39]3[CH2:40][CH:41]12,"([('pyrrolidine', 1, [(13, 14, 15, 11, 12)])], [])","([('Hydroxy', 1, [(17,)]), ('piperazine', 1, [(12, 13, 14, 18, 19, 11)])], [('C2 alkane', 1, [(15, 16)])])","[('pyrrolidine', [(13, 14, 15, 11, 12)])]","defaultdict(<class 'list'>, {'piperazine ([N:11]1[CH2:12][CH2:13][N:14][CH2:18][CH2:19]1)': [(14, 15, 'C2 alkane ([CH2:15][CH2:16])'), (11, 10, 'target molecule')], 'Hydroxy ([OH:17])': [(17, 16, 'C2 alkane ([CH2:15][CH2:16])')]})",1.0,0.0,blood-brain barrier penetration
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,[CH3:0][N:1]1[CH2:2][c:3]2[c:4](-[c:5]3[n:6][o:7][c:8]([C:9]([CH3:10])([OH:11])[CH2:12][OH:13])[n:14]3)[n:15][cH:16][n:17]2-[c:18]2[cH:19][cH:20][cH:21][c:22]([Cl:23])[c:24]2[C:25]1=[O:26],CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,[CH3:0][N:1]1[CH2:2][c:3]2[c:4](-[c:5]3[n:6][o:7][c:8]([C:9]([CH3:10])([CH3:11])[OH:12])[n:13]3)[n:14][cH:15][n:16]2-[c:17]2[cH:18][cH:19][cH:20][c:21]([Cl:22])[c:23]2[C:24]1=[O:25],"([('1,2-Diol', 1, [(11, 9, 12, 13)])], [('C1 alkane', 1, [(10,)])])","([('Hydroxy', 1, [(12,)])], [('C3 alkane', 1, [(9, 10, 11)])])","[('1,2-Diol', [(11, 9, 12, 13)]), ('C1 alkane', [(10,)])]","defaultdict(<class 'list'>, {'C3 alkane ([C:9]([CH3:10])[CH3:11])': [(9, 8, 'target molecule'), (9, 12, 'Hydroxy ([OH:12])')]})",0.0,0.0,blood-brain barrier penetration
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,[CH3:0][N:1]1[CH2:2][c:3]2[c:4](-[c:5]3[n:6][o:7][c:8]([C:9]([CH3:10])([OH:11])[CH2:12][OH:13])[n:14]3)[n:15][cH:16][n:17]2-[c:18]2[cH:19][cH:20][cH:21][c:22]([Cl:23])[c:24]2[C:25]1=[O:26],CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,[CH3:0][N:1]1[CH2:2][c:3]2[c:4](-[c:5]3[n:6][o:7][c:8]([C:9]([CH3:10])([CH2:11][OH:12])[CH2:13][OH:14])[n:15]3)[n:16][cH:17][n:18]2-[c:19]2[cH:20][cH:21][cH:22][c:23]([Cl:24])[c:25]2[C:26]1=[O:27],"([('1,2-Diol', 1, [(11, 9, 12, 13)])], [('C1 alkane', 1, [(10,)])])","([('Hydroxy', 2, [(12,), (14,)])], [('C4 alkane', 1, [(9, 10, 11, 13)])])","[('1,2-Diol', [(11, 9, 12, 13)]), ('C1 alkane', [(10,)])]","defaultdict(<class 'list'>, {'C4 alkane ([C:9]([CH3:10])([CH2:11])[CH2:13])': [(9, 8, 'target molecule'), (11, 12, 'Hydroxy ([OH:12])'), (13, 14, 'Hydroxy ([OH:14])')]})",0.0,0.0,blood-brain barrier penetration
