target_smiles,ref_smiles,target_diff,ref_diff
NCC[NH2+]CCNCC[NH2+]CCN,NCC[NH2+]CCNCC[NH3+],"([('Amine', 1, [(0,)])], [('C2 alkane', 1, [(1, 2)])])","([], [])"
[NH3+]CCCCCC(=O)[O-],O=C([O-])CCCCCCCC(=O)[O-],"([('Ammonium', 1, [(0,)])], [])","([('Carboxylic acid', 1, [(1, 0, 2)])], [('C2 alkane', 1, [(3, 4)])])"
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],"([], [])","([('Ammonium', 1, [(7,)]), ('Carboxylic acid', 1, [(13, 14, 15)])], [('C1 alkane', 3, [(6,), (8,), (12,)])])"
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],"([('Hydroxy', 1, [(12,)])], [])","([('Nitro', 2, [(13, 14, 12), (13, 14, 15)])], [])"
[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,"([('Ammonium', 1, [(25,)])], [])","([('Hydroxy', 1, [(25,)])], [])"
O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,"([], [])","([('Ether', 4, [(4,), (7,), (10,), (13,)])], [('C2 alkane', 3, [(2, 3), (5, 6), (8, 9)])])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,"([('Trifluoromethyl', 1, [(17, 16, 18, 19)]), ('thymine', 1, [(16, 15, 14, 5, 3, 4, 2, 1, 0)])], [])","([('Arylfluoride', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,"([('Arylfluoride', 1, [(16,)])], [])","([('Aryliodide', 1, [(16,)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,"([('Arylfluoride', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('thymine', 1, [(0, 1, 2, 3, 12, 13, 14, 15, 16)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,"([('Aryliodide', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('thymine', 1, [(0, 1, 2, 3, 12, 13, 14, 15, 16)])], [])"
