target_smiles,target_mapped_smiles,ref_smiles,ref_mapped_smiles,target_diff,ref_diff,disconnect_list,connect_dict,target_label,ref_label,property_name
NCC[NH2+]CCNCC[NH2+]CCN,[NH2:0][CH2:1][CH2:2][NH2+:3][CH2:4][CH2:5][NH:6][CH2:7][CH2:8][NH2+:9][CH2:10][CH2:11][NH2:12],NCC[NH2+]CCNCC[NH3+],[NH2:0][CH2:1][CH2:2][NH2+:3][CH2:4][CH2:5][NH:6][CH2:7][CH2:8][NH3+:9],"([('Amine', 1, [(0,)])], [('C2 alkane', 1, [(1, 2)])])","([], [])","[('Amine', [(0,)]), ('C2 alkane', [(1, 2)])]","defaultdict(<class 'list'>, {})",1.0,1.0,drugs approved by the FDA and passed clinical trials
[NH3+]CCCCCC(=O)[O-],[NH3+:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[O-:8],O=C([O-])CCCCCCCC(=O)[O-],[O:0]=[C:1]([O-:2])[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10](=[O:11])[O-:12],"([('Ammonium', 1, [(0,)])], [])","([('Carboxylic acid', 1, [(1, 0, 2)])], [('C2 alkane', 1, [(3, 4)])])","[('Ammonium', [(0,)])]","defaultdict(<class 'list'>, {'C2 alkane ([CH2:3][CH2:4])': [(3, 1, 'Carboxylic acid ([O:0]=[C:1][O-:2])'), (4, 1, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,[O:0]=[N+:1]([O-:2])[O:3][C@@H:4]1[CH2:5][O:6][C@H:7]2[C@@H:8]1[O:9][CH2:10][C@@H:11]2[OH:12],O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],[O:0]=[N+:1]([O-:2])[O:3][C@H:4]1[CH2:5][O:6][C@H:7]2[C@@H:8]1[O:9][CH2:10][C@H:11]2[O:12][N+:13](=[O:14])[O-:15],"([('Hydroxy', 1, [(12,)])], [])","([('Nitro', 2, [(13, 14, 12), (13, 14, 15)])], [])","[('Hydroxy', [(12,)])]","defaultdict(<class 'list'>, {'Nitro ([O:12][N+:13]=[O:14])': [(13, 15, 'Nitro ([N+:13](=[O:14])[O-:15])'), (12, 11, 'target molecule')], 'Nitro ([N+:13](=[O:14])[O-:15])': [(13, 12, 'Nitro ([O:12][N+:13]=[O:14])')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,[NH3+:0][CH2:1][C@@H:2]1[O:3][C@H:4]([O:5][C@H:6]2[C@@H:7]([OH:8])[C@H:9]([O:10][C@@H:11]3[C@@H:12]([OH:13])[C@H:14]([NH3+:15])[CH2:16][C@H:17]([NH3+:18])[C@H:19]3[O:20][C@H:21]3[O:22][C@H:23]([CH2:24][NH3+:25])[C@@H:26]([OH:27])[C@H:28]([OH:29])[C@H:30]3[NH3+:31])[O:32][C@@H:33]2[CH2:34][OH:35])[C@H:36]([NH3+:37])[C@@H:38]([OH:39])[C@@H:40]1[OH:41],[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,[NH3+:0][CH2:1][C@@H:2]1[O:3][C@H:4]([O:5][C@H:6]2[C@@H:7]([OH:8])[C@H:9]([O:10][C@@H:11]3[C@@H:12]([OH:13])[C@H:14]([NH3+:15])[CH2:16][C@H:17]([NH3+:18])[C@H:19]3[O:20][C@H:21]3[O:22][C@H:23]([CH2:24][OH:25])[C@@H:26]([OH:27])[C@H:28]([OH:29])[C@H:30]3[NH3+:31])[O:32][C@@H:33]2[CH2:34][OH:35])[C@H:36]([NH3+:37])[C@@H:38]([OH:39])[C@@H:40]1[OH:41],"([('Ammonium', 1, [(25,)])], [])","([('Hydroxy', 1, [(25,)])], [])","[('Ammonium', [(25,)])]","defaultdict(<class 'list'>, {'Hydroxy ([OH:25])': [(25, 24, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,[O:0]=[C:1]([CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[NH:8][c:9]1[c:10]([I:11])[cH:12][c:13]([I:14])[c:15]([C:16](=[O:17])[O-:18])[c:19]1[I:20])[NH:21][c:22]1[c:23]([I:24])[cH:25][c:26]([I:27])[c:28]([C:29](=[O:30])[O-:31])[c:32]1[I:33],O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,[O:0]=[C:1]([CH2:2][CH2:3][O:4][CH2:5][CH2:6][O:7][CH2:8][CH2:9][O:10][CH2:11][CH2:12][O:13][CH2:14][CH2:15][C:16](=[O:17])[NH:18][c:19]1[c:20]([I:21])[cH:22][c:23]([I:24])[c:25]([C:26](=[O:27])[O-:28])[c:29]1[I:30])[NH:31][c:32]1[c:33]([I:34])[cH:35][c:36]([I:37])[c:38]([C:39](=[O:40])[O-:41])[c:42]1[I:43],"([], [])","([('Ether', 4, [(4,), (7,), (10,), (13,)])], [('C2 alkane', 3, [(2, 3), (5, 6), (8, 9)])])",[],"defaultdict(<class 'list'>, {'Ether ([O:13])': [(13, 3, 'target molecule'), (13, 4, 'target molecule')], 'Ether ([O:10])': [(10, 9, 'C2 alkane ([CH2:8][CH2:9])'), (10, 2, 'target molecule')], 'C2 alkane ([CH2:2][CH2:3])': [(2, 1, 'target molecule'), (3, 4, 'Ether ([O:4])')], 'Ether ([O:4])': [(4, 5, 'C2 alkane ([CH2:5][CH2:6])')], 'Ether ([O:7])': [(7, 6, 'C2 alkane ([CH2:5][CH2:6])'), (7, 8, 'C2 alkane ([CH2:8][CH2:9])')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,[O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:13]2)[cH:14][c:15]1[C:16]([F:17])([F:18])[F:19],O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,[O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:13]2)[cH:14][c:15]1[F:16],"([('Trifluoromethyl', 1, [(17, 16, 18, 19)]), ('thymine', 1, [(16, 15, 14, 5, 3, 4, 2, 1, 0)])], [])","([('Arylfluoride', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","[('Trifluoromethyl', [(17, 16, 18, 19)]), ('thymine', [(16, 15, 14, 5, 3, 4, 2, 1, 0)])]","defaultdict(<class 'list'>, {'uracil ([O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5][cH:14][c:15]1)': [(15, 16, 'Arylfluoride ([F:16])'), (5, 6, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,[O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:13]2)[cH:14][c:15]1[F:16],O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,[O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:13]2)[cH:14][c:15]1[I:16],"([('Arylfluoride', 1, [(16,)])], [])","([('Aryliodide', 1, [(16,)])], [])","[('Arylfluoride', [(16,)])]","defaultdict(<class 'list'>, {'Aryliodide ([I:16])': [(16, 15, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,[O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:13]2)[cH:14][c:15]1[F:16],Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,[CH3:0][c:1]1[cH:2][n:3]([C@@H:4]2[CH2:5][C@@H:6]([OH:7])[C@H:8]([CH2:9][OH:10])[O:11]2)[c:12](=[O:13])[nH:14][c:15]1=[O:16],"([('Arylfluoride', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('thymine', 1, [(0, 1, 2, 3, 12, 13, 14, 15, 16)])], [])","[('Arylfluoride', [(16,)]), ('uracil', [(0, 1, 15, 14, 5, 3, 4, 2)])]","defaultdict(<class 'list'>, {'thymine ([CH3:0][c:1]1[cH:2][n:3][c:12](=[O:13])[nH:14][c:15]1=[O:16])': [(3, 6, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,[O:0]=[c:1]1[nH:2][c:3](=[O:4])[n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:13]2)[cH:14][c:15]1[I:16],Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,[CH3:0][c:1]1[cH:2][n:3]([C@@H:4]2[CH2:5][C@@H:6]([OH:7])[C@H:8]([CH2:9][OH:10])[O:11]2)[c:12](=[O:13])[nH:14][c:15]1=[O:16],"([('Aryliodide', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('thymine', 1, [(0, 1, 2, 3, 12, 13, 14, 15, 16)])], [])","[('Aryliodide', [(16,)]), ('uracil', [(0, 1, 15, 14, 5, 3, 4, 2)])]","defaultdict(<class 'list'>, {'thymine ([CH3:0][c:1]1[cH:2][n:3][c:12](=[O:13])[nH:14][c:15]1=[O:16])': [(3, 6, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,[Cl:0][c:1]1[cH:2][cH:3][c:4]([CH:5]([CH2:6][n:7]2[cH:8][cH:9][n:10][cH:11]2)[O:12][CH2:13][c:14]2[cH:15][cH:16][s:17][c:18]2[Cl:19])[c:20]([Cl:21])[cH:22]1,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,[Cl:0][c:1]1[cH:2][cH:3][c:4]([CH2:5][O:6][CH:7]([CH2:8][n:9]2[cH:10][cH:11][n:12][cH:13]2)[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][c:20]2[Cl:21])[c:22]([Cl:23])[cH:24]1,"([('thiophene', 1, [(14, 15, 16, 17, 18)])], [])","([('Arylchloride', 1, [(0,)]), ('Benzene', 1, [(1, 2, 3, 4, 22, 24)])], [])","[('thiophene', [(14, 15, 16, 17, 18)])]","defaultdict(<class 'list'>, {'Benzene ([c:1]1[cH:2][cH:3][c:4][c:22][cH:24]1)': [(1, 0, 'Arylchloride ([Cl:0])'), (4, 13, 'target molecule'), (22, 19, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,[Cl:0][c:1]1[cH:2][cH:3][c:4]([CH:5]([CH2:6][n:7]2[cH:8][cH:9][n:10][cH:11]2)[O:12][CH2:13][c:14]2[cH:15][cH:16][s:17][c:18]2[Cl:19])[c:20]([Cl:21])[cH:22]1,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,[Cl:0][c:1]1[cH:2][cH:3][c:4]([CH2:5][O:6][CH:7]([CH2:8][n:9]2[cH:10][cH:11][n:12][cH:13]2)[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][c:20]2[Cl:21])[cH:22][cH:23]1,"([('thiophene', 1, [(14, 15, 16, 17, 18)])], [])","([('Benzene', 1, [(1, 2, 3, 4, 22, 23)])], [])","[('thiophene', [(14, 15, 16, 17, 18)])]","defaultdict(<class 'list'>, {'Benzene ([c:1]1[cH:2][cH:3][c:4][cH:22][cH:23]1)': [(1, 19, 'target molecule'), (4, 13, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
