target_smiles,ref_smiles,target_diff,ref_diff
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,c1ccc2c(c1)ccc1c3ccccc3ccc21,"([('Benzene', 1, [(0, 1, 2, 3, 4, 5)])], [])","([], [])"
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,c1ccc2c(c1)ccc1ccccc12,"([('Benzene', 2, [(12, 13, 18, 19, 20, 21), (13, 14, 15, 16, 17, 18)])], [])","([], [])"
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,"([('Arylchloride', 1, [(0,)])], [])","([], [])"
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,"([('Hydroxy', 1, [(19,)])], [('C2 alkane', 1, [(17, 18)])])","([('1,2-Diol', 1, [(18, 17, 19, 20)])], [])"
CCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCC,"([], [])","([], [('C12 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)])])"
CCCCCCCCCCCCCC,CCCCCCCCC,"([], [('C5 alkane', 1, [(0, 1, 2, 3, 4)])])","([], [])"
CCCCCCCCCCCCCC,CCCCCCC,"([], [('C7 alkane', 1, [(0, 1, 2, 3, 4, 5, 6)])])","([], [])"
CCCCCCCCCCCCCC,CCCCCCCC,"([], [('C6 alkane', 1, [(0, 1, 2, 3, 4, 5)])])","([], [])"
CCCCCCCCCCCCCC,CCCCCC,"([], [('C8 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7)])])","([], [])"
CCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCC,"([], [])","([], [('C6 alkane', 1, [(0, 1, 2, 3, 4, 5)])])"
CC(C)Cl,CC(Cl)Cl,"([], [('C1 alkane', 1, [(0,)])])","([('Chloride', 1, [(2,)])], [])"
CCCCCCCCCC(C)O,CCCCCC(C)O,"([], [('C4 alkane', 1, [(0, 1, 2, 3)])])","([], [])"
CCCCCCCCCC(C)O,CCCCCCCC(C)O,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
CCCCCCCCCC(C)O,CCCCC(C)O,"([], [('C5 alkane', 1, [(0, 1, 2, 3, 4)])])","([], [])"
CCCCCCCCCC(C)O,CCCCCCC(C)O,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,"([], [])","([('Arylchloride', 2, [(11,), (13,)])], [])"
CCOP(=S)(OCC)SCSCC,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"([('Thioether', 1, [(10,)])], [('C2 alkane', 1, [(11, 12)])])","([('oxy', 2, [(13,), (16,)]), ('Sulfenic derivative', 1, [(10, 11)]), ('Phosphoric acid derivative', 1, [(11, 12, 10, 13, 16)])], [('C2 alkane', 2, [(14, 15), (17, 18)])])"
CCOc1ccc(NC(C)=O)cc1,CCOc1ccc(NC(N)=O)cc1,"([('Amide', 1, [(8, 10, 7)])], [('C1 alkane', 1, [(9,)])])","([('Urea', 1, [(7, 8, 10, 9)])], [])"
CCCCCCCO,CCCCCCO,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCCCCO,CCCCCCCCCCCCCCCCO,"([], [])","([], [('C9 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7, 8)])])"
CCCCCCCO,CCCCCCCCO,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCCCCO,CCCCCO,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
CCCCCCCO,CCCCO,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
CCCCCCCO,CCCCCCCCCO,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCCCO,CCCCCCCCCCCCCCO,"([], [])","([], [('C7 alkane', 1, [(0, 1, 2, 3, 4, 5, 6)])])"
CCCCCCCO,CCCCCCCCCCCCCCCCCCO,"([], [])","([], [('C11 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)])])"
CCCCCCCO,CCCCCCCCCCCCO,"([], [])","([], [('C5 alkane', 1, [(0, 1, 2, 3, 4)])])"
CCCCCCCO,CCCCCCCCCCCCCCCO,"([], [])","([], [('C8 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7)])])"
CCCCCCCO,CCCCCCCCCCO,"([], [])","([], [('C3 alkane', 1, [(0, 1, 2)])])"
CCCCCCCC(=O)OC,CCCCCC(=O)OC,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
CCCCCCCC(=O)OC,CCCCCCCCCC(=O)OC,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCCCC(=O)OC,CCCCC(=O)OC,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
CCCCCCCC(=O)OC,CCCCCCCCCCCC(=O)OC,"([], [])","([], [('C4 alkane', 1, [(0, 1, 2, 3)])])"
CCCCCCCC(=O)OC,CCCCCCCCC(=O)OC,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCc1ccc(CC)cc1,CCc1ccc(C)cc1,"([], [('C1 alkane', 1, [(7,)])])","([], [])"
CCOP(=S)(OCC)SCSC(C)(C)C,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"([('Thioether', 1, [(10,)])], [('C1 alkane', 2, [(12,), (13,)])])","([('oxy', 2, [(2,), (5,)]), ('Sulfenic derivative', 1, [(8, 3)]), ('Phosphoric acid derivative', 1, [(3, 4, 2, 5, 8)])], [('C2 alkane', 1, [(6, 7)])])"
CCCCC=O,CCCCCC=O,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCCCCI,CCCCI,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
O=C1NC(=O)C2(CCC2)C(=O)N1,O=C1NC(=O)C2(CC2)C(=O)N1,"([], [('C1 alkane', 1, [(8,)])])","([], [])"
O=C1NC(=O)C2(CCC2)C(=O)N1,O=C1NC(=O)C2(CCCCC2)C(=O)N1,"([], [])","([], [('C2 alkane', 1, [(9, 10)])])"
O=C1NC(=O)C2(CCC2)C(=O)N1,O=C1NC(=O)C2(CCCCCC2)C(=O)N1,"([], [])","([], [('C3 alkane', 1, [(9, 10, 11)])])"
O=C1NC(=O)C2(CCC2)C(=O)N1,O=C1NC(=O)C2(CCCC2)C(=O)N1,"([], [])","([], [('C1 alkane', 1, [(9,)])])"
O=C1NC(=O)C2(CCC2)C(=O)N1,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,"([], [])","([], [('C4 alkane', 1, [(9, 10, 11, 12)])])"
CCCCCC(C)O,CCCCCCCC(C)O,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCC(C)O,CCCCC(C)O,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCCC(C)O,CCCCCCC(C)O,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
C#CCCCCCC,C#CCCCC,"([], [('C2 alkane', 1, [(6, 7)])])","([], [])"
C#CCCCCCC,C#CCCCCCCC,"([], [])","([], [('C1 alkane', 1, [(8,)])])"
C#CCCCCCC,C#CCCCCC,"([], [('C1 alkane', 1, [(7,)])])","([], [])"
c1ccc2c(c1)ccc1c3ccccc3ccc21,c1ccc2c(c1)ccc1ccccc12,"([('Benzene', 1, [(9, 10, 11, 12, 13, 14)])], [])","([], [])"
Cc1ccc(C)c2ccccc12,Cc1cccc2c(C)cccc12,"([], [('C1 alkane', 1, [(0,)])])","([], [('C1 alkane', 1, [(0,)])])"
Cc1cc2c3ccccc3ccc2c2ccccc12,Cc1cccc2c1ccc1ccccc12,"([('Benzene', 1, [(13, 14, 15, 16, 17, 18)])], [])","([], [])"
CCCCC(=O)OCC,CCCCCCCCC(=O)OCC,"([], [])","([], [('C4 alkane', 1, [(0, 1, 2, 3)])])"
CCCCC(=O)OCC,CCCCCCCCCC(=O)OCC,"([], [])","([], [('C5 alkane', 1, [(0, 1, 2, 3, 4)])])"
CCCCC(=O)OCC,CCCCCC(=O)OCC,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCC(=O)OCC,CCCCCCCC(=O)OCC,"([], [])","([], [('C3 alkane', 1, [(0, 1, 2)])])"
CCCCC(=O)OCC,CCCC(=O)OCC,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCC(=O)OCC,CCCCCCC(=O)OCC,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,"([('Alkene', 1, [(0, 1)])], [])","([], [('C1 alkane', 1, [(7,)])])"
