target_smiles,target_mapped_smiles,ref_smiles,ref_mapped_smiles,target_diff,ref_diff,disconnect_list,connect_dict,target_label,ref_label,property_name
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,[Cl:0][c:1]1[cH:2][c:3]([Cl:4])[c:5](-[c:6]2[c:7]([Cl:8])[cH:9][cH:10][cH:11][c:12]2[Cl:13])[c:14]([Cl:15])[cH:16]1,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,[Cl:0][c:1]1[cH:2][cH:3][cH:4][c:5]([Cl:6])[c:7]1-[c:8]1[c:9]([Cl:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15],"([('Arylchloride', 1, [(0,)])], [])","([], [])","[('Arylchloride', [(0,)])]","defaultdict(<class 'list'>, {})",-7.32,-7.39,log-scale water solubility in mols per litre
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,[CH3:0][C:1]12[CH2:2][CH2:3][CH:4]3[c:5]4[cH:6][cH:7][c:8]([OH:9])[cH:10][c:11]4[CH2:12][CH2:13][CH:14]3[CH:15]1[CH2:16][CH2:17][CH:18]2[OH:19],CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,[CH3:0][C:1]12[CH2:2][CH2:3][CH:4]3[c:5]4[cH:6][cH:7][c:8]([OH:9])[cH:10][c:11]4[CH2:12][CH2:13][CH:14]3[CH:15]1[CH2:16][CH:17]([OH:18])[CH:19]2[OH:20],"([('Hydroxy', 1, [(19,)])], [('C2 alkane', 1, [(17, 18)])])","([('1,2-Diol', 1, [(18, 17, 19, 20)])], [])","[('Hydroxy', [(19,)]), ('C2 alkane', [(17, 18)])]","defaultdict(<class 'list'>, {'1,2-Diol ([CH:17]([OH:18])[CH:19][OH:20])': [(17, 16, 'target molecule'), (19, 1, 'target molecule')]})",-5.03,-4.955,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCCCCCCCCCCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH3:25],"([], [])","([], [('C12 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)])])",[],"defaultdict(<class 'list'>, {'C12 alkane ([CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11])': [(11, 0, 'target molecule')]})",-7.96,-8.334,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8],"([], [('C5 alkane', 1, [(0, 1, 2, 3, 4)])])","([], [])","[('C5 alkane', [(0, 1, 2, 3, 4)])]","defaultdict(<class 'list'>, {})",-7.96,-5.88,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH3:6],"([], [('C7 alkane', 1, [(0, 1, 2, 3, 4, 5, 6)])])","([], [])","[('C7 alkane', [(0, 1, 2, 3, 4, 5, 6)])]","defaultdict(<class 'list'>, {})",-7.96,-4.53,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7],"([], [('C6 alkane', 1, [(0, 1, 2, 3, 4, 5)])])","([], [])","[('C6 alkane', [(0, 1, 2, 3, 4, 5)])]","defaultdict(<class 'list'>, {})",-7.96,-5.24,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH3:5],"([], [('C8 alkane', 1, [(0, 1, 2, 3, 4, 5, 6, 7)])])","([], [])","[('C8 alkane', [(0, 1, 2, 3, 4, 5, 6, 7)])]","defaultdict(<class 'list'>, {})",-7.96,-3.84,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH3:15],"([], [])","([], [('C2 alkane', 1, [(0, 1)])])",[],"defaultdict(<class 'list'>, {'C2 alkane ([CH3:0][CH2:1])': [(1, 0, 'target molecule')]})",-7.96,-8.4,log-scale water solubility in mols per litre
CCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],CCCCCCCCCCCCCCCCCCCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19],"([], [])","([], [('C6 alkane', 1, [(0, 1, 2, 3, 4, 5)])])",[],"defaultdict(<class 'list'>, {'C6 alkane ([CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5])': [(5, 0, 'target molecule')]})",-7.96,-8.172,log-scale water solubility in mols per litre
CC(C)Cl,[CH3:0][CH:1]([CH3:2])[Cl:3],CC(Cl)Cl,[CH3:0][CH:1]([Cl:2])[Cl:3],"([], [('C1 alkane', 1, [(0,)])])","([('Chloride', 1, [(2,)])], [])","[('C1 alkane', [(0,)])]","defaultdict(<class 'list'>, {'Chloride ([Cl:2])': [(2, 1, 'target molecule')]})",-1.41,-1.29,log-scale water solubility in mols per litre
