target_smiles,ref_smiles,target_diff,ref_diff
CCCCCCCO,CCCCCCCCCCO,"([], [])","([], [('C3 alkane', 1, [(0, 1, 2)])])"
CCCCCCCO,CCCCCCO,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCCCCO,CCCCO,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
CCCCCCCO,CCCCCCCCCO,"([], [])","([], [('C2 alkane', 1, [(0, 1)])])"
CCCCCCCO,CCCCCCCCO,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCCCCO,CCCCCO,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
CCCCC(=O)OCC,CCCCCC(=O)OCC,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCC(=O)OCC,CCOC(=O)CCC(=O)OCC,"([], [])","([('Carboxylic ester', 1, [(3, 4, 2)])], [])"
CCCCC(=O)OCC,CCCC(=O)OCC,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CC(=O)OCCOC(C)=O,CCCOC(C)=O,"([('Carboxylic ester', 1, [(7, 9, 6)])], [])","([], [])"
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,CCOP(=S)(OCC)SCSCC,"([('oxy', 2, [(13,), (16,)]), ('Sulfenic derivative', 1, [(10, 11)]), ('Phosphoric acid derivative', 1, [(11, 12, 10, 13, 16)])], [('C2 alkane', 2, [(14, 15), (17, 18)])])","([('Thioether', 1, [(10,)])], [('C2 alkane', 1, [(11, 12)])])"
OC1CCCCCC1,OC1CCCCC1,"([], [('C1 alkane', 1, [(2,)])])","([], [])"
OC1CCCCCC1,OC1CCCC1,"([], [('C2 alkane', 1, [(2, 3)])])","([], [])"
COC(=O)C1CC1,COC(=O)C1CCCCC1,"([], [])","([], [('C3 alkane', 1, [(5, 6, 7)])])"
CCCCCCCCCCO,CCCCCCO,"([], [('C4 alkane', 1, [(0, 1, 2, 3)])])","([], [])"
CCCCCCCCCCO,CCCCO,"([], [('C6 alkane', 1, [(0, 1, 2, 3, 4, 5)])])","([], [])"
CCCCCCCCCCO,CCCCCCCCCO,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCCCCCCCO,CCCCCCCCO,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
CCCCCCCCCCO,CCCCCO,"([], [('C5 alkane', 1, [(0, 1, 2, 3, 4)])])","([], [])"
CCCCCCCCC,CCCCCCC,"([], [('C2 alkane', 1, [(0, 1)])])","([], [])"
CCCCCCCCC,CCCCCCCCCC,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
CCCCCCCCC,CCCCCC,"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])"
CCCCCCCCC,CCCCCCCC,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
C=CCCCCCCC,C=CCCCC,"([], [('C3 alkane', 1, [(6, 7, 8)])])","([], [])"
C=CCCCCCCC,C=CCCCCCC,"([], [('C1 alkane', 1, [(8,)])])","([], [])"
C=CCCCCCCC,C=CCCCCC,"([], [('C2 alkane', 1, [(7, 8)])])","([], [])"
CCCC(=O)OC,CCCCC(=O)OC,"([], [])","([], [('C1 alkane', 1, [(0,)])])"
C1CNC1,C1CCNC1,"([('azetidine', 1, [(0, 1, 2, 3)])], [])","([('pyrrolidine', 1, [(0, 1, 2, 3, 4)])], [])"
Clc1cc2c(cc1Cl)Oc1ccccc1O2,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,"([], [])","([('Arylchloride', 2, [(12,), (14,)])], [])"
CCCCCCCCN,CCCCCCCN,"([], [('C1 alkane', 1, [(0,)])])","([], [])"
CCCCCCCCN,CCCCN,"([], [('C4 alkane', 1, [(0, 1, 2, 3)])])","([], [])"
