target_smiles,target_mapped_smiles,ref_smiles,ref_mapped_smiles,target_diff,ref_diff,disconnect_list,connect_dict,target_label,ref_label,property_name
CCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7],CCCCCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][OH:10],"([], [])","([], [('C3 alkane', 1, [(0, 1, 2)])])",[],"defaultdict(<class 'list'>, {'C3 alkane ([CH3:0][CH2:1][CH2:2])': [(2, 0, 'target molecule')]})",-0.1058550299109167,0.0423962986726536,hydration free energy in water
CCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7],CCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][OH:6],"([], [('C1 alkane', 1, [(0,)])])","([], [])","[('C1 alkane', [(0,)])]","defaultdict(<class 'list'>, {})",-0.1058550299109167,-0.1552721394387736,hydration free energy in water
CCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7],CCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][OH:4],"([], [('C3 alkane', 1, [(0, 1, 2)])])","([], [])","[('C3 alkane', [(0, 1, 2)])]","defaultdict(<class 'list'>, {})",-0.1058550299109167,-0.2385009554856901,hydration free energy in water
CCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7],CCCCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9],"([], [])","([], [('C2 alkane', 1, [(0, 1)])])",[],"defaultdict(<class 'list'>, {'C2 alkane ([CH3:0][CH2:1])': [(1, 0, 'target molecule')]})",-0.1058550299109167,-0.0200253133625338,hydration free energy in water
CCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7],CCCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][OH:8],"([], [])","([], [('C1 alkane', 1, [(0,)])])",[],"defaultdict(<class 'list'>, {'C1 alkane ([CH3:0])': [(0, 0, 'target molecule')]})",-0.1058550299109167,-0.0746442238933229,hydration free energy in water
CCCCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7],CCCCCO,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][OH:5],"([], [('C2 alkane', 1, [(0, 1)])])","([], [])","[('C2 alkane', [(0, 1)])]","defaultdict(<class 'list'>, {})",-0.1058550299109167,-0.199487447963698,hydration free energy in water
CCCCC(=O)OCC,[CH3:0][CH2:1][CH2:2][CH2:3][C:4](=[O:5])[O:6][CH2:7][CH3:8],CCCCCC(=O)OCC,[CH3:0][CH2:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[O:7][CH2:8][CH3:9],"([], [])","([], [('C1 alkane', 1, [(0,)])])",[],"defaultdict(<class 'list'>, {'C1 alkane ([CH3:0])': [(0, 0, 'target molecule')]})",0.3414998563412604,0.4091232693793803,hydration free energy in water
CCCCC(=O)OCC,[CH3:0][CH2:1][CH2:2][CH2:3][C:4](=[O:5])[O:6][CH2:7][CH3:8],CCOC(=O)CCC(=O)OCC,[CH3:0][CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11],"([], [])","([('Carboxylic ester', 1, [(3, 4, 2)])], [])",[],"defaultdict(<class 'list'>, {'Carboxylic ester ([O:2][C:3]=[O:4])': [(3, 2, 'target molecule'), (2, 1, 'target molecule')]})",0.3414998563412604,-0.4959901051308387,hydration free energy in water
CCCCC(=O)OCC,[CH3:0][CH2:1][CH2:2][CH2:3][C:4](=[O:5])[O:6][CH2:7][CH3:8],CCCC(=O)OCC,[CH3:0][CH2:1][CH2:2][C:3](=[O:4])[O:5][CH2:6][CH3:7],"([], [('C1 alkane', 1, [(0,)])])","([], [])","[('C1 alkane', [(0,)])]","defaultdict(<class 'list'>, {})",0.3414998563412604,0.3414998563412604,hydration free energy in water
CC(=O)OCCOC(C)=O,[CH3:0][C:1](=[O:2])[O:3][CH2:4][CH2:5][O:6][C:7]([CH3:8])=[O:9],CCCOC(C)=O,[CH3:0][CH2:1][CH2:2][O:3][C:4]([CH3:5])=[O:6],"([('Carboxylic ester', 1, [(7, 9, 6)])], [])","([], [])","[('Carboxylic ester', [(7, 9, 6)])]","defaultdict(<class 'list'>, {})",-0.659846836723206,0.2634728412972761,hydration free energy in water
