target_smiles,ref_smiles,target_diff,ref_diff
Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,Cn1c(CN2CCN(c3ccccc3)CC2)nc2ccccc21,"([('Arylchloride', 1, [(12,)])], [])","([], [])"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)COC(C)=O,"([('Thioether', 1, [(28,)]), ('Carboxylic acid', 1, [(30, 31, 32)])], [])","([('Carboxylic ester', 1, [(29, 31, 28)])], [])"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSc1ccncc1,"([('Carboxylic acid', 1, [(30, 31, 32)])], [('C1 alkane', 1, [(29,)])])","([('pyridine', 1, [(29, 30, 31, 32, 33, 34)])], [])"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=S)NCC(=O)O,"([('Thioether', 1, [(28,)]), ('Amide', 1, [(25, 26, 24)])], [('C1 alkane', 1, [(29,)])])","([('Thiourea', 1, [(24, 25, 26, 27)])], [])"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(C)=O,"([('Thioether', 1, [(28,)]), ('Carboxylic acid', 1, [(30, 31, 32)])], [('C1 alkane', 1, [(29,)])])","([], [])"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CCC(=O)O,"([('Thioether', 1, [(28,)])], [])","([], [])"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)NCC(=O)O,"([('Thioether', 1, [(28,)]), ('Amide', 1, [(25, 26, 24)])], [('C1 alkane', 1, [(29,)])])","([('Urea', 1, [(24, 25, 26, 27)])], [])"
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,O=C(NC1Cc2ccccc2N(CC(CO)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,"([('1,2-Diol', 1, [(14, 13, 15, 16)])], [])","([('Hydroxy', 2, [(15,), (17,)])], [('C3 alkane', 1, [(13, 14, 16)])])"
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,O=C(NC1Cc2ccccc2N(CCCO)C1=O)c1cc2cc(Cl)sc2[nH]1,"([('1,2-Diol', 1, [(14, 13, 15, 16)])], [])","([('Hydroxy', 1, [(15,)])], [('C2 alkane', 1, [(13, 14)])])"
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,CN(C)C(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,"([('1,2-Diol', 1, [(14, 13, 15, 16)])], [])","([('Amide', 1, [(3, 4, 1)])], [('C1 alkane', 2, [(0,), (2,)])])"
