target_smiles,target_mapped_smiles,ref_smiles,ref_mapped_smiles,target_diff,ref_diff,disconnect_list,connect_dict,target_label,ref_label,property_name
Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,[CH3:0][n:1]1[c:2]([CH2:3][N:4]2[CH2:5][CH2:6][N:7]([c:8]3[cH:9][cH:10][c:11]([Cl:12])[cH:13][cH:14]3)[CH2:15][CH2:16]2)[n:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12,Cn1c(CN2CCN(c3ccccc3)CC2)nc2ccccc21,[CH3:0][n:1]1[c:2]([CH2:3][N:4]2[CH2:5][CH2:6][N:7]([c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[CH2:14][CH2:15]2)[n:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12,"([('Arylchloride', 1, [(12,)])], [])","([], [])","[('Arylchloride', [(12,)])]","defaultdict(<class 'list'>, {})",3.54,3.11,octanol/water distribution coefficient (logD at pH 7.4)
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][CH2:29][C:30](=[O:31])[OH:32],COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)COC(C)=O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][O:28][C:29]([CH3:30])=[O:31],"([('Thioether', 1, [(28,)]), ('Carboxylic acid', 1, [(30, 31, 32)])], [])","([('Carboxylic ester', 1, [(29, 31, 28)])], [])","[('Thioether', [(28,)]), ('Carboxylic acid', [(30, 31, 32)])]","defaultdict(<class 'list'>, {'Carboxylic ester ([O:28][C:29]=[O:31])': [(29, 29, 'target molecule'), (28, 27, 'target molecule')]})",-1.18,2.07,octanol/water distribution coefficient (logD at pH 7.4)
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][CH2:29][C:30](=[O:31])[OH:32],COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSc1ccncc1,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][c:29]1[cH:30][cH:31][n:32][cH:33][cH:34]1,"([('Carboxylic acid', 1, [(30, 31, 32)])], [('C1 alkane', 1, [(29,)])])","([('pyridine', 1, [(29, 30, 31, 32, 33, 34)])], [])","[('Carboxylic acid', [(30, 31, 32)]), ('C1 alkane', [(29,)])]","defaultdict(<class 'list'>, {'pyridine ([c:29]1[cH:30][cH:31][n:32][cH:33][cH:34]1)': [(29, 28, 'target molecule')]})",-1.18,2.82,octanol/water distribution coefficient (logD at pH 7.4)
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][CH2:29][C:30](=[O:31])[OH:32],COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=S)NCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[S:26])[NH:27][CH2:28][C:29](=[O:30])[OH:31],"([('Thioether', 1, [(28,)]), ('Amide', 1, [(25, 26, 24)])], [('C1 alkane', 1, [(29,)])])","([('Thiourea', 1, [(24, 25, 26, 27)])], [])","[('Thioether', [(28,)]), ('Amide', [(25, 26, 24)]), ('C1 alkane', [(29,)])]","defaultdict(<class 'list'>, {'Thiourea ([NH:24][C:25](=[S:26])[NH:27])': [(24, 23, 'target molecule'), (27, 27, 'target molecule')]})",-1.18,-1.04,octanol/water distribution coefficient (logD at pH 7.4)
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][CH2:29][C:30](=[O:31])[OH:32],COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(C)=O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25]([CH3:26])=[O:27],"([('Thioether', 1, [(28,)]), ('Carboxylic acid', 1, [(30, 31, 32)])], [('C1 alkane', 1, [(29,)])])","([], [])","[('Thioether', [(28,)]), ('Carboxylic acid', [(30, 31, 32)]), ('C1 alkane', [(29,)])]","defaultdict(<class 'list'>, {})",-1.18,1.97,octanol/water distribution coefficient (logD at pH 7.4)
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][CH2:29][C:30](=[O:31])[OH:32],COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][CH2:28][C:29](=[O:30])[OH:31],"([('Thioether', 1, [(28,)])], [])","([], [])","[('Thioether', [(28,)])]","defaultdict(<class 'list'>, {})",-1.18,-0.87,octanol/water distribution coefficient (logD at pH 7.4)
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[CH2:27][S:28][CH2:29][C:30](=[O:31])[OH:32],COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)NCC(=O)O,[CH3:0][O:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([S:8](=[O:9])(=[O:10])[N:11]2[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][CH2:19][CH:20]2[CH3:21])[cH:22][c:23]1[NH:24][C:25](=[O:26])[NH:27][CH2:28][C:29](=[O:30])[OH:31],"([('Thioether', 1, [(28,)]), ('Amide', 1, [(25, 26, 24)])], [('C1 alkane', 1, [(29,)])])","([('Urea', 1, [(24, 25, 26, 27)])], [])","[('Thioether', [(28,)]), ('Amide', [(25, 26, 24)]), ('C1 alkane', [(29,)])]","defaultdict(<class 'list'>, {'Urea ([NH:24][C:25](=[O:26])[NH:27])': [(24, 23, 'target molecule'), (27, 27, 'target molecule')]})",-1.18,-1.02,octanol/water distribution coefficient (logD at pH 7.4)
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,[O:0]=[C:1]([NH:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[N:11]([CH2:12][C@@H:13]([OH:14])[CH2:15][OH:16])[C:17]1=[O:18])[c:19]1[cH:20][c:21]2[cH:22][c:23]([Cl:24])[s:25][c:26]2[nH:27]1,O=C(NC1Cc2ccccc2N(CC(CO)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,[O:0]=[C:1]([NH:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[N:11]([CH2:12][CH:13]([CH2:14][OH:15])[CH2:16][OH:17])[C:18]1=[O:19])[c:20]1[cH:21][c:22]2[cH:23][c:24]([Cl:25])[s:26][c:27]2[nH:28]1,"([('1,2-Diol', 1, [(14, 13, 15, 16)])], [])","([('Hydroxy', 2, [(15,), (17,)])], [('C3 alkane', 1, [(13, 14, 16)])])","[('1,2-Diol', [(14, 13, 15, 16)])]","defaultdict(<class 'list'>, {'C3 alkane ([CH:13]([CH2:14])[CH2:16])': [(13, 12, 'target molecule'), (14, 15, 'Hydroxy ([OH:15])'), (16, 17, 'Hydroxy ([OH:17])')]})",3.37,3.56,octanol/water distribution coefficient (logD at pH 7.4)
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,[O:0]=[C:1]([NH:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[N:11]([CH2:12][C@@H:13]([OH:14])[CH2:15][OH:16])[C:17]1=[O:18])[c:19]1[cH:20][c:21]2[cH:22][c:23]([Cl:24])[s:25][c:26]2[nH:27]1,O=C(NC1Cc2ccccc2N(CCCO)C1=O)c1cc2cc(Cl)sc2[nH]1,[O:0]=[C:1]([NH:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[N:11]([CH2:12][CH2:13][CH2:14][OH:15])[C:16]1=[O:17])[c:18]1[cH:19][c:20]2[cH:21][c:22]([Cl:23])[s:24][c:25]2[nH:26]1,"([('1,2-Diol', 1, [(14, 13, 15, 16)])], [])","([('Hydroxy', 1, [(15,)])], [('C2 alkane', 1, [(13, 14)])])","[('1,2-Diol', [(14, 13, 15, 16)])]","defaultdict(<class 'list'>, {'C2 alkane ([CH2:13][CH2:14])': [(13, 12, 'target molecule'), (14, 15, 'Hydroxy ([OH:15])')]})",3.37,3.49,octanol/water distribution coefficient (logD at pH 7.4)
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,[O:0]=[C:1]([NH:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[N:11]([CH2:12][C@@H:13]([OH:14])[CH2:15][OH:16])[C:17]1=[O:18])[c:19]1[cH:20][c:21]2[cH:22][c:23]([Cl:24])[s:25][c:26]2[nH:27]1,CN(C)C(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,[CH3:0][N:1]([CH3:2])[C:3](=[O:4])[CH2:5][N:6]1[C:7](=[O:8])[CH:9]([NH:10][C:11](=[O:12])[c:13]2[cH:14][c:15]3[cH:16][c:17]([Cl:18])[s:19][c:20]3[nH:21]2)[CH2:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21,"([('1,2-Diol', 1, [(14, 13, 15, 16)])], [])","([('Amide', 1, [(3, 4, 1)])], [('C1 alkane', 2, [(0,), (2,)])])","[('1,2-Diol', [(14, 13, 15, 16)])]","defaultdict(<class 'list'>, {'Amide ([N:1][C:3]=[O:4])': [(3, 12, 'target molecule'), (1, 0, 'C1 alkane ([CH3:0])'), (1, 2, 'C1 alkane ([CH3:2])')]})",3.37,3.07,octanol/water distribution coefficient (logD at pH 7.4)
