target_smiles,ref_smiles,target_diff,ref_diff
"C1CC1","C1CCC1","([], [])","([], [('C1 alkane', 1, [(1,)])])"
"C1CC1","C1CCCC1","([], [])","([], [('C2 alkane', 1, [(1, 2)])])"
"C1CC1","C1CCCCC1","([], [])","([], [('C3 alkane', 1, [(1, 2, 3)])])"
"C1CC1","C1CCCCCC1","([], [])","([], [('C4 alkane', 1, [(1, 2, 3, 4)])])"
"C1CC1","C1CCCCCCC1","([], [])","([], [('C5 alkane', 1, [(1, 2, 3, 4, 5)])])"
"C1CC1","C1CCCCCCCC1","([], [])","([], [('C6 alkane', 1, [(0, 1, 2, 3, 7, 8)])])"
"C1CO1","C1COCCO1","([('oxirane', 1, [(0, 1, 2)])], [])","([('1,4-dioxane', 1, [(0, 1, 2, 3, 4, 5)])], [])"
"C1CO1","C1COCCOCCO1","([('oxirane', 1, [(0, 1, 2)])], [])","([('Ether', 3, [(2,), (5,), (8,)])], [('C6 alkane', 1, [(0, 1, 3, 4, 6, 7)])])"
"CC1CC1","C[C@H]1CC[C@@H](C)CC1","([], [])","([], [('C4 alkane', 1, [(0, 1, 6, 7)])])"
"C[C@H]1CO1","C[C@H]1CO[C@@H](C)CO1","([('oxirane', 1, [(1, 2, 3)])], [])","([('1,4-dioxane', 1, [(1, 2, 3, 4, 6, 7)])], [('C1 alkane', 1, [(0,)])])"
"OC1CC1","OC1CCC1","([], [])","([], [('C1 alkane', 1, [(2,)])])"
"OC1CC1","O[C@H]1CC[C@@H](O)CC1","([], [])","([('Hydroxy', 1, [(0,)])], [('C3 alkane', 1, [(1, 7, 6)])])"
"C1CCC1","C1CCCC1","([], [])","([], [('C1 alkane', 1, [(1,)])])"
"C1CCC1","C1CCCCC1","([], [])","([], [('C2 alkane', 1, [(1, 2)])])"
"C1CCC1","C1CCCCCC1","([], [])","([], [('C3 alkane', 1, [(1, 2, 3)])])"
"C1CCC1","C1CCCCCCC1","([], [])","([], [('C4 alkane', 1, [(1, 2, 3, 4)])])"
"C1CCC1","C1CCCCCCCC1","([], [])","([], [('C5 alkane', 1, [(0, 1, 2, 3, 8)])])"
"C1COC1","C1COCCCOC1","([('oxetane', 1, [(0, 1, 2, 3)])], [])","([('Ether', 2, [(2,), (6,)])], [('C6 alkane', 1, [(0, 1, 3, 4, 5, 7)])])"
"c1cc[nH]c1","c1cccc[nH]ccc1","([('1H-pyrrole', 1, [(0, 1, 2, 3, 4)])], [])","([('Hetero N basic H', 1, [(5,)])], [('C8 alkane', 1, [(0, 1, 2, 3, 4, 6, 7, 8)])])"
"c1ccoc1","c1ccccoccc1","([('furan', 1, [(0, 1, 2, 3, 4)])], [])","([('Hetero O', 1, [(5,)])], [('C8 alkane', 1, [(0, 1, 2, 3, 4, 6, 7, 8)])])"
"CC1(C)CC1","CC1(C)CCC1","([], [])","([], [('C1 alkane', 1, [(3,)])])"
"CC1(O)CC1","CC1(O)CCC1","([], [])","([], [('C1 alkane', 1, [(3,)])])"
