target_smiles,ref_smiles
C1CC1,C1CCC1
C1CC1,C1CCCC1
C1CC1,C1CCCCC1
C1CC1,C1CCCCCC1
C1CC1,C1CCCCCCC1
C1CC1,C1CCCCCCCC1
C1CO1,C1COCCO1
C1CO1,C1COCCOCCO1
CC1CC1,C[C@H]1CC[C@@H](C)CC1
C[C@H]1CO1,C[C@H]1CO[C@@H](C)CO1
OC1CC1,OC1CCC1
OC1CC1,O[C@H]1CC[C@@H](O)CC1
C1CCC1,C1CCCC1
C1CCC1,C1CCCCC1
C1CCC1,C1CCCCCC1
C1CCC1,C1CCCCCCC1
C1CCC1,C1CCCCCCCC1
C1COC1,C1COCCCOC1
c1cc[nH]c1,c1cccc[nH]ccc1
c1c[nH]cn1,c1cncc[nH]cnc1
c1ccoc1,c1ccccoccc1
c1cocn1,c1cnccocnc1
CC1(C)CC1,CC1(C)CCC1
CC1(O)CC1,CC1(O)CCC1
CC1(O)CC1,CC1(O)CCCC1
O=C1CCC1,O=C1CCCC1
O=C1CCC1,O=C1CCCC(=O)CC1
O=C1CNC1,O=C1CNCC(=O)C1
O=C1CNC1,O=C1CCC(=O)CNC1
CC1CCC1,CC1CCCC1
CC1CCC1,C[C@@H]1CCC[C@H](C)C1
CC1CCC1,C[C@@H]1CCC[C@H](C)CC1
OC1CCC1,OC1CCCC1
OC1CCC1,O[C@@H]1CCC[C@H](O)CC1
OC1COC1,O[C@@H]1COC[C@H](O)C1
OC1COC1,O[C@@H]1CC[C@H](O)COC1
[H]/N=C/NC=O,N=N.[H]/N=C/NC=O
O=CNC=O,N=N.O=CNC=O
C#CC#CC,C#CC#CC#CC
C#CC#CC,C#CC#CC#CC#CC
CC#CC#N,CC#CC#CC#N
CC#CC#N,CC#CC#CC#CC#N
CCCCC,CCCCCC
CCCCO,CCCCCO
CCCCO,CCCCCCO
CCCCO,CCCCCCCO
CCCCO,CCCCCCCCO
OCCCO,OCCCCO
C#CC1CC1,C#CC1CCC1
C#CC1CC1,C#CC1CCCC1
C#CC1CC1,C#C[C@H]1CC[C@H](C#C)C1
N#CC1CC1,N#CC1CCC1
N#CC1CC1,N#CC1CCCC1
N#CC1CC1,N#C[C@H]1CC[C@H](C#N)C1
O=CC1CC1,O=CC1CCC1
O=CC1CC1,O=CC1CCCC1
O=CC1CC1,O=CC1CCCCC1
O=CC1CC1,O=C[C@H]1CC[C@H](C=O)C1
O=CC1CC1,O=CC1CCCCCC1
O=C[C@H]1CO1,O=C[C@H]1COCO1
O=CN1CC1,O=CN1CCC1
O=CN1CC1,O=CN1CCCC1
CCC1CC1,CCC1CCC1
CCC1CC1,CCC1CCCC1
CCC1CC1,CC[C@H]1CC[C@@H](C)CC1
CCC1CC1,CC[C@H]1CC[C@@H](O)CC1
CCC1CC1,CC[C@@H]1CC[C@H](CC)C1
COC1CC1,COC1CCC1
COC1CC1,COC1CCCC1
COC1CC1,CO[C@H]1CC[C@@H](C)CC1
