target_smiles,ref_smiles,target_diff,ref_diff
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,"([], [('C1 alkane', 1, [(0,)])])","([('Alkene', 1, [(0, 1)])], [])"
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,"([], [])","([('Aryliodide', 1, [(17,)])], [])"
OC[C@@H](O)[C@H](O)[C@@H](O)CO,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,"([], [])","([('1,2-Diol', 1, [(0, 1, 2, 3)])], [])"
OC[C@@H](O)[C@H](O)[C@@H](O)CO,OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,"([], [])","([('1,2-Diol', 1, [(0, 1, 2, 3)])], [])"
OC[C@@H](O)[C@H](O)[C@@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"([], [])","([('1,2-Diol', 1, [(0, 1, 2, 3)])], [])"
OC[C@@H](O)[C@H](O)[C@@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,"([], [])","([('1,2-Diol', 1, [(0, 1, 2, 3)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,"([('Aryliodide', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('Bromoalkene', 1, [(18, 17, 16)]), ('thymine', 1, [(16, 15, 14, 5, 3, 4, 2, 1, 0)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,"([('Aryliodide', 1, [(16,)])], [])","([('Arylfluoride', 1, [(16,)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,"([('Aryliodide', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('thymine', 1, [(1, 2, 3, 4, 13, 14, 15, 16, 17)])], [('C1 alkane', 1, [(0,)])])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,"([('Aryliodide', 1, [(16,)])], [])","([('Arylbromide', 1, [(16,)])], [])"
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,"([('Aryliodide', 1, [(16,)]), ('uracil', 1, [(0, 1, 15, 14, 5, 3, 4, 2)])], [])","([('thymine', 1, [(0, 1, 2, 3, 12, 13, 14, 15, 16)])], [])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,"([], [])","([], [('C2 alkane', 1, [(6, 7)])])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,"([], [])","([('Ether', 2, [(8,), (11,)])], [('C2 alkane', 2, [(6, 7), (9, 10)])])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,"([], [])","([('Ether', 3, [(8,), (11,), (14,)])], [('C2 alkane', 3, [(6, 7), (9, 10), (12, 13)])])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,"([], [])","([], [('C4 alkane', 1, [(6, 7, 8, 9)])])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCO,"([('Alkene', 1, [(0, 1)]), ('Carboxylic ester', 1, [(3, 4, 5)])], [('C1 alkane', 1, [(2,)])])","([('Hydroxy', 1, [(8,)])], [])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOC(=O)CC(C)=O,"([('Alkene', 1, [(0, 1)])], [])","([('Ketone', 1, [(12, 14)])], [('C1 alkane', 1, [(13,)])])"
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,"([], [])","([('Ether', 1, [(8,)])], [('C2 alkane', 1, [(6, 7)])])"
